0,Directory,Time,Files,Files/s
1,/M1/data/0,46,"175,130",3807
2,/M2/data/1,42,"135,856",3235
3,/M3/data/2,57,"173,237",3039
4,/M4/data/3,31,"95,199",3071
5,/M5/data/4,41,"128,015",3122
6,/M6/data/5,29,"91,957",3171
7,/M7/data/6,10,"27,910",2791
8,/M8/data/7,10,"28,176",2818
9,/M9/data/8,11,"26,327",2393
10,/M10/data/9,11,"26,327",2393
11,/M10/data/A,9,"18,350",2039
12,/M9/data/B,9,"17,651",1961
13,/M8/data/C,9,"18,093",2010
14,/M7/data/D,9,"17,411",1935
15,/M6/data/E,9,"17,777",1975
16,/M5/data/F,10,"19,135",1914
17,/M4/data/G,9,"17,341",1927
18,/M3/data/H,10,"18,417",1842
19,/M2/data/I,12,"29,269",2439
20,/M1/data/J,10,"26,689",2669
21,/M1/data/K,45,"132,256",2939
22,/M2/data/L,14,"37,040",2646
23,/M3/data/M,14,"35,535",2538
24,/M4/data/N,14,"36,217",2587
25,/M5/data/O,14,"36,838",2631
26,/M6/data/P,14,"37,038",2646
27,/M7/data/Q,13,"35,468",2728
28,/M8/data/R,13,"37,169",2859
29,/M9/data/S,12,"28,197",2350
30,/M10/data/T,11,"28,923",2629
31,/M10/data/U,6,"8,942",1490
32,/M9/data/V,7,"8,939",1277
33,/M8/data/W,7,"9,574",1368
34,/M7/data/X,7,"9,074",1296
35,/M6/data/Y,7,"8,899",1271
36,/M5/data/Z,36,"117,226",3256
,Sum,582,"1,598,376",83807
,Average,16,"44,399",2328
,Maximum,57,"175,130",3807
,Minimum,6,"8,899",1271
