0,Directory,Time,Files,Files/s,,,,
1,/M10/data/U,6,"8,942",1490,,,,
2,/M6/data/Y,7,"8,899",1271,,,,
3,/M9/data/V,7,"8,939",1277,,,,
4,/M7/data/X,7,"9,074",1296,,,,
5,/M8/data/W,7,"9,574",1368,,,,
6,/M4/data/G,9,"17,341",1927,,,,
7,/M7/data/D,9,"17,411",1935,,,,
8,/M9/data/B,9,"17,651",1961,,,,
9,/M6/data/E,9,"17,777",1975,,,,
10,/M8/data/C,9,"18,093",2010,,,,
11,/M10/data/A,9,"18,350",2039,,,,
12,/M3/data/H,10,"18,417",1842,,,,
13,/M5/data/F,10,"19,135",1914,,,,
14,/M1/data/J,10,"26,689",2669,,,,
15,/M7/data/6,10,"27,910",2791,,,,
16,/M8/data/7,10,"28,176",2818,,,,
17,/M9/data/8,11,"26,327",2393,,,,
18,/M10/data/9,11,"26,327",2393,,,,
19,/M10/data/T,11,"28,923",2629,,,,
20,/M9/data/S,12,"28,197",2350,,,,
21,/M2/data/I,12,"29,269",2439,,,,
22,/M7/data/Q,13,"35,468",2728,,,,
23,/M8/data/R,13,"37,169",2859,,,,
24,/M3/data/M,14,"35,535",2538,,,,
25,/M4/data/N,14,"36,217",2587,,,,
26,/M5/data/O,14,"36,838",2631,,,,
27,/M6/data/P,14,"37,038",2646,,,,
28,/M2/data/L,14,"37,040",2646,,,,
29,/M6/data/5,29,"91,957",3171,,,,
30,/M4/data/3,31,"95,199",3071,,,,
31,/M5/data/Z,36,"117,226",3256,,,,
32,/M5/data/4,41,"128,015",3122,,,,
33,/M2/data/1,42,"135,856",3235,,,,
34,/M1/data/K,45,"132,256",2939,,,,
35,/M1/data/0,46,"175,130",3807,,,,
36,/M3/data/2,57,"173,237",3039,,,,
,Sum,561,"1,542,365",84024,2749.313725,98975.29412,27059.03509,257060.8333
,Average,16,"42,843",2334,2749.313725,,,
,Maximum,57,"175,130",3807,3072.45614,,,
,Minimum,6,"8,899",1271,1483.166667,,,
